R	53.3629	-6.22753	E917	14 Oct 2020	E917\n11:04 - Greystones to Howth (2 mins late)\nDeparted Clontarf Road next stop Killester	Northbound
R	53.3632	-6.25908	P408	14 Oct 2020	P408\n11:35 - Hazelhatch to Grand Canal Dock (3 mins late)\nDeparted Drumcondra next stop Dublin Connolly	Northbound
R	53.3776	-6.39072	D913	14 Oct 2020	D913\n11:47 - Dublin Connolly to Maynooth (3 mins late)\nDeparted Coolmine next stop Clonsilla	Northbound
R	53.3777	-6.34591	P742	14 Oct 2020	P742\n11:40 - Maynooth to Dublin Connolly (4 mins late)\nArrived Navan Road Parkway next stop Ashtown	Southbound
R	53.3815	-6.17699	E225	14 Oct 2020	E225\n11:52 - Malahide to Bray (4 mins late)\nDeparted Raheny next stop Harmonstown	Southbound
R	53.387	-6.16163	E113	14 Oct 2020	E113\n12:00 - Howth to Greystones (0 mins late)\nArrived Kilbarrack next stop Raheny	Southbound
R	53.3909	-6.15672	E816	14 Oct 2020	E816\n11:05 - Bray to Malahide (0 mins late)\nDeparted Howth Junction next stop Clongriffin	Northbound
T	53.2043	-6.10046	E221	14 Oct 2020	E221\n10:50 - Malahide to Bray(-1 mins late)\nTERMINATED Bray at 12:03	Southbound
T	53.3531	-6.24591	A905	14 Oct 2020	A905\n09:05 - Sligo to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 12:08	Southbound
T	53.3531	-6.24591	P704	14 Oct 2020	P704\n10:50 - Dundalk to Dublin Connolly(0 mins late)\nTERMINATED Dublin Connolly at 12:08	Southbound
T	53.378	-6.58993	D912	14 Oct 2020	D912\n11:17 - Dublin Connolly to Maynooth(5 mins late)\nTERMINATED Maynooth at 12:03	Northbound
T	53.3891	-6.07401	E916	14 Oct 2020	E916\n10:55 - Bray to Howth(0 mins late)\nTERMINATED Howth at 12:08	Northbound
